timestamp,potential,solver,seed,tag,run_dir,n_params_total,n_params_quantum,n_params_classical,epochs,lr,N_f,N_b,N_0,dtype,device,arch_repr,q_ansatz,encoding,num_qubits,num_quantum_layers,classic_network,has_exact,l2_rel_psi_T,l2_rel_prob_T,bdry_max_abs_psi_xmin,bdry_max_abs_psi_xmax,metrics_json
2026-03-07T17:57:05,unknown,DV,0,box_DV_bq_circ19_e1500_w300_2q_2l,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\DV\20260307-170820_seed0_box_DV_bq_circ19_e1500_w300_2q_2l,652,8,644,1500,0.001,,,,float32,cpu,"DV(q=2, L=2, ansatz=sim_circ_19, enc=angle, classic=[2, 64, 2])",sim_circ_19,angle,2,2,"[2, 64, 2]",True,0.010796180926263332,0.01036183349788189,0.0,0.0,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\DV\20260307-170820_seed0_box_DV_bq_circ19_e1500_w300_2q_2l\artifacts\metrics_min.json
2026-03-07T19:48:57,unknown,DV,0,box_DV_bq_circ19_e1500_w300_4q_2l,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\DV\20260307-181301_seed0_box_DV_bq_circ19_e1500_w300_4q_2l,918,16,902,1500,0.001,,,,float32,cpu,"DV(q=4, L=2, ansatz=sim_circ_19, enc=angle, classic=[2, 64, 2])",sim_circ_19,angle,4,2,"[2, 64, 2]",True,0.004986398387700319,0.005719724111258984,0.0,0.0,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\DV\20260307-181301_seed0_box_DV_bq_circ19_e1500_w300_4q_2l\artifacts\metrics_min.json
2026-03-08T14:25:13,unknown,DV,0,box_DV_bq_circ19_e1500_w300_6q_2l,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\DV\20260308-105821_seed0_box_DV_bq_circ19_e1500_w300_6q_2l,1184,24,1160,1500,0.001,,,,float32,cpu,"DV(q=6, L=2, ansatz=sim_circ_19, enc=angle, classic=[2, 64, 2])",sim_circ_19,angle,6,2,"[2, 64, 2]",True,0.003131850855425,0.0018259788630530238,0.0,0.0,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\DV\20260308-105821_seed0_box_DV_bq_circ19_e1500_w300_6q_2l\artifacts\metrics_min.json
2026-03-09T12:16:54,unknown,DV,0,box_DV_bq_circ19_e1500_w300_8q_2l,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\DV\20260309-054344_seed0_box_DV_bq_circ19_e1500_w300_8q_2l,1450,32,1418,1500,0.001,,,,float32,cpu,"DV(q=8, L=2, ansatz=sim_circ_19, enc=angle, classic=[2, 64, 2])",sim_circ_19,angle,8,2,"[2, 64, 2]",True,0.0023411372676491737,0.002669738605618477,0.0,0.0,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\DV\20260309-054344_seed0_box_DV_bq_circ19_e1500_w300_8q_2l\artifacts\metrics_min.json
2026-03-09T21:10:13,unknown,DV,0,pl_box_DV_bq_circ19_e10_w2_2q_2l,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\DV\20260309-210937_seed0_pl_box_DV_bq_circ19_e10_w2_2q_2l,652,8,644,10,0.001,,,,float32,cpu,"DV(q=2, L=2, ansatz=sim_circ_19, enc=angle, classic=[2, 64, 2])",sim_circ_19,angle,2,2,"[2, 64, 2]",True,0.9454045295715332,0.9905499815940857,0.0,0.0,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\DV\20260309-210937_seed0_pl_box_DV_bq_circ19_e10_w2_2q_2l\artifacts\metrics_min.json
2026-03-15T08:49:46,unknown,Classical,0,pinn_supermini,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\ho\Classical\20260315-084830_seed0_pinn_supermini,1218,,,1500,0.001,,,,float64,cpu,"PINN(classic=[2, 32, 32, 2])",,,,,"[2, 32, 32, 2]",True,0.02971418880398041,0.031008453542897777,0.02077641175108539,0.01420510294860631,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\ho\Classical\20260315-084830_seed0_pinn_supermini\artifacts\metrics_min.json
2026-03-15T08:59:46,unknown,Classical,0,pinn_2-64-64-2,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\ho\Classical\20260315-085836_seed0_pinn_2-64-64-2,4482,,,1500,0.001,,,,float64,cpu,"PINN(classic=[2, 64, 64, 2])",,,,,"[2, 64, 64, 2]",True,0.023232149494466954,0.016166680378039328,0.014408151681460325,0.01152047770565816,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\ho\Classical\20260315-085836_seed0_pinn_2-64-64-2\artifacts\metrics_min.json
2026-03-15T09:03:03,unknown,Classical,0,pinn_2-64-64-64-2,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\ho\Classical\20260315-090142_seed0_pinn_2-64-64-64-2,8642,,,1500,0.001,,,,float64,cpu,"PINN(classic=[2, 64, 64, 64, 2])",,,,,"[2, 64, 64, 64, 2]",True,0.014834086039601738,0.012460024756059208,0.00820616326516741,0.005093982267346413,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\ho\Classical\20260315-090142_seed0_pinn_2-64-64-64-2\artifacts\metrics_min.json
2026-03-15T09:06:44,unknown,Classical,0,pinn_2-64-64-64-64-2,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\ho\Classical\20260315-090506_seed0_pinn_2-64-64-64-64-2,12802,,,1500,0.001,,,,float64,cpu,"PINN(classic=[2, 64, 64, 64, 64, 2])",,,,,"[2, 64, 64, 64, 64, 2]",True,0.01502409426979058,0.010515259856765598,0.007262491666741408,0.005058867791479181,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\ho\Classical\20260315-090506_seed0_pinn_2-64-64-64-64-2\artifacts\metrics_min.json
2026-03-15T09:17:19,unknown,Classical,0,newpinn_2-32-32-2,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\Classical\20260315-091621_seed0_newpinn_2-32-32-2,903,,,1500,0.001,,,,float64,cpu,"PINN(classic=[2, 23, 32, 2])",,,,,"[2, 23, 32, 2]",True,0.0654764069553877,0.09988770038936542,0.0,0.0,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\Classical\20260315-091621_seed0_newpinn_2-32-32-2\artifacts\metrics_min.json
2026-03-15T09:20:21,unknown,Classical,0,newpinn_2-64-64-2,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\Classical\20260315-091914_seed0_newpinn_2-64-64-2,4482,,,1500,0.001,,,,float64,cpu,"PINN(classic=[2, 64, 64, 2])",,,,,"[2, 64, 64, 2]",True,0.024312553680760313,0.027078705783493265,0.0,0.0,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\Classical\20260315-091914_seed0_newpinn_2-64-64-2\artifacts\metrics_min.json
2026-03-15T09:23:11,unknown,Classical,0,newpinn_2-64-64-64-2,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\Classical\20260315-092131_seed0_newpinn_2-64-64-64-2,8642,,,1500,0.001,,,,float64,cpu,"PINN(classic=[2, 64, 64, 64, 2])",,,,,"[2, 64, 64, 64, 2]",True,0.005859195435428687,0.0046820198277687285,0.0,0.0,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\Classical\20260315-092131_seed0_newpinn_2-64-64-64-2\artifacts\metrics_min.json
2026-03-15T09:29:01,unknown,Classical,0,newpinn_2-64-64-64-64-2,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\Classical\20260315-092707_seed0_newpinn_2-64-64-64-64-2,12802,,,1500,0.001,,,,float64,cpu,"PINN(classic=[2, 64, 64, 64, 64, 2])",,,,,"[2, 64, 64, 64, 64, 2]",True,0.004155846088441937,0.005444507373113754,0.0,0.0,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\Classical\20260315-092707_seed0_newpinn_2-64-64-64-64-2\artifacts\metrics_min.json
2026-03-15T10:27:21,unknown,Classical,0,prueba newpinn_2-32-32-2,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\Classical\20260315-102655_seed0_prueba newpinn_2-32-32-2,1218,,,150,0.001,,,,float64,cpu,"PINN(classic=[2, 32, 32, 2])",,,,,"[2, 32, 32, 2]",True,0.648954817153832,0.5334953452453689,0.0,0.0,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\Classical\20260315-102655_seed0_prueba newpinn_2-32-32-2\artifacts\metrics_min.json
2026-03-15T10:32:31,unknown,Classical,0,newpinn_2-32-32-2,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\Classical\20260315-103133_seed0_newpinn_2-32-32-2,1218,,,1500,0.001,,,,float64,cpu,"PINN(classic=[2, 32, 32, 2])",,,,,"[2, 32, 32, 2]",True,0.013901291115735254,0.01692305746173882,0.0,0.0,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\Classical\20260315-103133_seed0_newpinn_2-32-32-2\artifacts\metrics_min.json
2026-04-04T18:14:41,unknown,Classical,0,box_pesosvf__2-64-64-64-2,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\Classical\20260404-181241_seed0_box_pesosvf__2-64-64-64-2,8642,,,1500,0.001,,,,float64,cpu,"PINN(classic=[2, 64, 64, 64, 2])",,,,,"[2, 64, 64, 64, 2]",True,0.005406549908505577,0.00372126562069146,0.0,0.0,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\Classical\20260404-181241_seed0_box_pesosvf__2-64-64-64-2\artifacts\metrics_min.json
2026-04-04T18:20:28,unknown,Classical,0,box_pesosvf__2-64-64-64-64-2,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\Classical\20260404-181817_seed0_box_pesosvf__2-64-64-64-64-2,12802,,,1500,0.001,,,,float64,cpu,"PINN(classic=[2, 64, 64, 64, 64, 2])",,,,,"[2, 64, 64, 64, 64, 2]",True,0.004251235406382096,0.0048056641951778785,0.0,0.0,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\Classical\20260404-181817_seed0_box_pesosvf__2-64-64-64-64-2\artifacts\metrics_min.json
2026-04-04T18:30:00,unknown,Classical,0,pinn_pesosvf_2-64-64-64-2,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\ho\Classical\20260404-182822_seed0_pinn_pesosvf_2-64-64-64-2,8642,,,1500,0.001,,,,float64,cpu,"PINN(classic=[2, 64, 64, 64, 2])",,,,,"[2, 64, 64, 64, 2]",True,0.023054437765610124,0.01724659252625672,0.013801768595224216,0.006201608920061461,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\ho\Classical\20260404-182822_seed0_pinn_pesosvf_2-64-64-64-2\artifacts\metrics_min.json
